Id,Subscribers,CC,Views,Length,Automobile,Blog,Comedy,Entertainment,Food,Informative,News,Science,Tech,VideoGames,Title_Length,Title_Upper,Title_Digit,Title_Punct
thumbnails\images\A&E\HLedllETYD4,7930,1,27000,1329,0,0,0,0,0,0,1,0,0,0,26,0.269230769230769,0.0384615384615385,0.0769230769230769
thumbnails\images\A&E\IF59QNrF1VQ,7930,0,14000,1448,0,0,0,0,0,0,1,0,0,0,54,0.185185185185185,0.0555555555555556,0.037037037037037
thumbnails\images\A&E\LiEFyZGcK5c,7930,0,15000,1347,0,0,0,0,0,0,1,0,0,0,73,0.164383561643836,0.0136986301369863,0.0547945205479452
thumbnails\images\A&E\LqUxOfIdxxo,7930,0,19000,1360,0,0,0,0,0,0,1,0,0,0,32,0.25,0.03125,0.0625
thumbnails\images\A&E\PIotJjzDyHM,7930,0,25000,791,0,0,0,0,0,0,1,0,0,0,52,0.153846153846154,0.0192307692307692,0.0384615384615385
thumbnails\images\A&E\QgONIEV7Rh0,7930,0,29000,310,0,0,0,0,0,0,1,0,0,0,58,0.172413793103448,0.0517241379310345,0.0689655172413793
thumbnails\images\A&E\VqP-2ftKIYI,7930,0,19000,273,0,0,0,0,0,0,1,0,0,0,52,0.173076923076923,0.0576923076923077,0.0769230769230769
thumbnails\images\A&E\XAtzfJcuHjY,7930,1,15000,1174,0,0,0,0,0,0,1,0,0,0,44,0.181818181818182,0.0909090909090909,0.0454545454545455
thumbnails\images\A&E\YiEj9mrqTN0,7930,1,14000,1254,0,0,0,0,0,0,1,0,0,0,57,0.210526315789474,0,0.0526315789473684
thumbnails\images\A&E\YiM9oosSvNg,7930,1,30000,1112,0,0,0,0,0,0,1,0,0,0,81,0.148148148148148,0,0.037037037037037
thumbnails\images\A&E\ZLuxpDxhHYA,7930,1,15000,1215,0,0,0,0,0,0,1,0,0,0,87,0.160919540229885,0.0114942528735632,0.0689655172413793
thumbnails\images\A&E\Zn0GBm1ltIk,7930,1,23000,1241,0,0,0,0,0,0,1,0,0,0,39,0.230769230769231,0.0256410256410256,0.0512820512820513
thumbnails\images\A&E\ce28TIoa4ao,7930,1,21000,1195,0,0,0,0,0,0,1,0,0,0,31,0.258064516129032,0.032258064516129,0.0645161290322581
thumbnails\images\A&E\eoFgUT82pTc,7930,0,17000,59,0,0,0,0,0,0,1,0,0,0,89,0.247191011235955,0.0112359550561798,0.0224719101123595
thumbnails\images\A&E\fA5Z2e86Hns,7930,1,18000,613,0,0,0,0,0,0,1,0,0,0,57,0.175438596491228,0.0175438596491228,0.0526315789473684
thumbnails\images\A&E\fxk3ZTusSqI,7930,1,20000,1226,0,0,0,0,0,0,1,0,0,0,69,0.173913043478261,0,0.0434782608695652
thumbnails\images\A&E\goxvS5pxLDo,7930,1,17000,1129,0,0,0,0,0,0,1,0,0,0,59,0.169491525423729,0,0.0338983050847458
thumbnails\images\A&E\iVv_xiIx22Q,7930,1,19000,1098,0,0,0,0,0,0,1,0,0,0,58,0.206896551724138,0,0.0517241379310345
thumbnails\images\A&E\ii50SWTJSoA,7930,1,26000,214,0,0,0,0,0,0,1,0,0,0,86,0.174418604651163,0.0116279069767442,0.0465116279069767
thumbnails\images\A&E\nbBHdhFs1q0,7930,1,20000,1166,0,0,0,0,0,0,1,0,0,0,76,0.157894736842105,0,0.0394736842105263
thumbnails\images\A&E\p6OkpHNtvE4,7930,0,18000,30,0,0,0,0,0,0,1,0,0,0,85,0.294117647058824,0,0.0235294117647059
thumbnails\images\A&E\s4X-CSFTUfo,7930,1,20000,1259,0,0,0,0,0,0,1,0,0,0,61,0.180327868852459,0,0.0491803278688525
